The Test Voltage will increment by in 5 mV in the data logger,,,,,,,,,,,
,,,,,,,,,,,
Enter G to start Test:,,,,,,,,,,,
,,,,,,,,,,,
 Voltage(Ideal) (mV), Voltage(Measured) (mV), VirtualGND (mV), VRef (mV), Calculated Gain,Percent Error,,,,,,
5,4.339,23.866,1031,17.514,13.22,,,,,,
5,4.318,23.75,1034,17.6,13.64,,,,,,
5,4.511,23.866,1031,17.514,9.78,,,,,,
5,3.647,25.647,1031,17,27.06,,,,,,
5,4.489,23.75,1034,17.6,10.22,,,,,,
5,4.306,23.076,1052,18.114,13.88,,,,,,
5,3.57,25.518,1034,17.086,28.6,,,,,,
5,4.454,23.866,1031,17.514,10.92,,,,,,
5,4.168,23.866,1031,17.514,16.64,,,,,,
5,4.153,23.149,1050,18.057,16.94,,,,,,
5,4.251,23.076,1052,18.114,14.98,,,,,,
5,3.529,25.647,1031,17,29.42,,,,5,18.09,0.9045
5,5.491,22.076,1029,18.029,9.82,,,,10,6.201607143,0.620160714
5,3.512,25.518,1034,17.086,29.76,,,,15,4.772020202,0.71580303
5,3.374,24.935,1048,17.486,32.52,,,,20,4.129425805,0.825885161
5,4.396,23.866,1031,17.514,12.08,,,,25,2.925406544,0.731351636
5,4.602,23.75,1034,17.6,7.96,,,,30,2.438730955,0.731619287
5,3.409,24.773,1052,17.6,31.82,,,,35,2.16193159,0.756676056
5,4.489,23.75,1034,17.6,10.22,,,,,,
5,5.739,22.67,1015,17.6,14.78,,,,,,
5,2.217,26.542,1055,17.143,55.66,,,,,,
5,6.276,22.561,1018,17.686,25.52,,,,,,
5,4.375,23.75,1034,17.6,12.5,,,,,,
5,3.706,25.647,1031,17,25.88,,,,,,
5,5.529,22.006,1031,18.086,10.58,,,,,,
5,3.647,25.647,1031,17,27.06,,,,,,
5,4.416,23.076,1052,18.114,11.68,,,,,,
5,4.454,23.866,1031,17.514,10.92,,,,,,
5,3.471,25.647,1031,17,30.58,,,,,,
5,4.568,23.866,1031,17.514,8.64,,,,,,
5,4.568,23.866,1031,17.514,8.64,,,,,,
5,6.374,20.879,1017,18.2,27.48,,,,,,
5,4.396,23.866,1031,17.514,12.08,,,,,,
5,4.43,23.149,1050,18.057,11.4,,,,,,
5,3.466,24.773,1052,17.6,30.68,,,,,,
5,4.306,23.076,1052,18.114,13.88,,,,,,
5,6.129,20.43,1031,18.6,22.58,,,,,,
5,4.511,23.866,1031,17.514,9.78,,,,,,
5,4.511,23.866,1031,17.514,9.78,,,,,,
5,6.183,20.43,1031,18.6,23.66,,,,,,
5,3.574,24.733,1053,17.629,28.52,,,,,,
5,3.428,24.107,1069,18.086,31.44,,,,,,
5,4.432,23.75,1034,17.6,11.36,,,,,,
5,3.588,25.647,1031,17,28.24,,,,,,
5,4.489,23.75,1034,17.6,10.22,,,,,,
5,4.264,23.149,1050,18.057,14.72,,,,,,
5,3.629,25.518,1034,17.086,27.42,,,,,,
5,3.6,25.734,1029,16.943,28,,,,,,
5,3.588,25.647,1031,17,28.24,,,,,,
5,5.402,21.992,1034,18.143,8.04,,,,,,
5,4.541,23.149,1050,18.057,9.18,,,,,,
5,4.667,24.383,1018,17.143,6.66,,,,,,
5,4.432,23.75,1034,17.6,11.36,,,,,,
5,5.372,22.097,1031,18.057,7.44,,,,,,
5,4.608,24.383,1018,17.143,7.84,,,,,,
5,4.444,23.222,1048,18,11.12,,,,,,
10,9.716,23.75,1034,17.6,2.84,,,,,,
10,10.345,21.386,1052,18.657,3.45,,,,,,
10,9.034,24.773,1052,17.6,9.66,,,,,,
10,8.893,24.853,1050,17.543,11.07,,,,,,
10,9.365,25.518,1034,17.086,6.35,,,,,,
10,9.773,23.75,1034,17.6,2.27,,,,,,
10,10.638,21.992,1034,18.143,6.38,,,,,,
10,10.528,21.992,1034,18.143,5.28,,,,,,
10,10.191,21.288,1055,18.743,1.91,,,,,,
10,10.522,22.097,1031,18.057,5.22,,,,,,
10,9.798,24.671,1011,16.943,2.02,,,,,,
10,11.63,20.945,1015,18.143,16.3,,,,,,
10,10.142,24.506,1015,17.057,1.42,,,,,,
10,9.359,23.149,1050,18.057,6.41,,,,,,
10,9.716,23.076,1052,18.114,2.84,,,,,,
10,10.252,21.992,1034,18.143,2.52,,,,,,
10,10.412,25.647,1031,17,4.12,,,,,,
10,9.958,24.285,1018,17.171,0.42,,,,,,
10,14.919,22.577,1015,17.629,49.19,,,,,,
10,9.47,23.149,1050,18.057,5.3,,,,,,
10,9.943,23.75,1034,17.6,0.57,,,,,,
10,10.057,23.75,1034,17.6,0.57,,,,,,
10,10.677,19.792,1052,19.2,6.77,,,,,,
10,8.972,22.097,1031,18.057,10.28,,,,,,
10,12.242,18.939,1031,19.114,22.42,,,,,,
10,9.643,23.655,1034,17.629,3.57,,,,,,
10,9.421,23.866,1031,17.514,5.79,,,,,,
10,9.754,20.76,1069,19.171,2.46,,,,,,
10,9.491,26.356,1015,16.543,5.09,,,,,,
10,10.285,21.538,1050,18.571,2.85,,,,,,
10,10.633,22.097,1031,18.057,6.33,,,,,,
10,9.412,25.647,1031,17,5.88,,,,,,
10,10.174,22.006,1031,18.086,1.74,,,,,,
10,11.628,23.944,1029,17.457,16.28,,,,,,
10,9.763,23.866,1031,17.514,2.37,,,,,,
10,10.227,23.75,1034,17.6,2.27,,,,,,
10,8.92,24.773,1052,17.6,10.8,,,,,,
10,11.239,20.336,1034,18.686,12.39,,,,,,
10,9.707,23.13,1048,18.029,2.93,,,,,,
10,9.773,23.75,1034,17.6,2.27,,,,,,
10,10.114,23.75,1034,17.6,1.14,,,,,,
10,11.163,20.493,1029,18.543,11.63,,,,,,
10,10.308,24.285,1018,17.171,3.08,,,,,,
10,9.189,25.518,1034,17.086,8.11,,,,,,
