=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2021.06.08 18:09:24 =~=~=~=~=~=~=~=~=~=~=~=,,,,,,,,,,,,,,,,,,,,
Time(s), VbatVal(mV), VbatHigh(mV), VbatLow(mV), VShunt(mV), VShuntGND(mV), VRef(mV), Gain, ShuntG,  Battery Temp 0, Battery Temp 1, Battery Temp 2, Battery Temp 3, Battery Temp 4, Battery Temp 5, Resistor Temp 0, Resistor Temp 1, Resistor Temp 2, Resistor Temp 3, Resistor Temp 4,
0.546875,9143.837891,64.237923,64.237923,-1.392982,9.00081,48.700809,18.664988,1.2,0,0,26.57,0,38.2,0.1,0,0,0,0,0, 
1.117188,9143.837891,64.237923,64.237923,-1.392982,9.00081,48.700809,18.664988,1.2,36.71,0.1,26.57,26.85,38.2,0.1,25.61,25.6,26.16,26.25,25.72,
2.226562,9223.044922,64.237923,64.237923,13.608367,9.00081,48.700809,18.664988,1.2,36.71,0.1,26.33,26.57,37.94,0.1,25.58,25.58,26.12,26.24,25.52, 
2.804688,9212.490234,64.151352,64.151352,13.590028,8.988679,48.688679,18.690176,1.2,36.83,0.1,26.33,26.57,37.94,0.1,25.47,25.46,26.2,26.12,25.55,
3.382812,9220.290039,64.151352,64.151352,13.643532,8.935175,48.635178,18.690176,1.2,36.83,0.1,26.33,26.57,37.94,0.1,25.49,25.48,26.2,26.12,25.56, 
3.960938,9223.044922,64.237923,64.237923,13.608367,9.00081,48.700809,18.664988,1.2,36.86,0.1,26.36,26.57,37.98,0.1,25.51,25.48,26.22,26.14,25.59, 
4.539062,9223.044922,64.237923,64.237923,13.608367,9.00081,48.700809,18.664988,1.2,36.86,0.1,26.36,26.57,37.98,0.1,25.51,25.48,26.22,26.16,25.59,
5.117188,9223.044922,64.237923,64.237923,13.608367,9.00081,48.700809,18.664988,1.2,36.89,0.1,26.38,26.6,37.98,0.1,25.51,25.51,26.22,26.16,25.62,
5.695312,9223.044922,64.237923,64.237923,13.608367,9.00081,48.700809,18.664988,1.2,36.89,0.1,26.38,26.6,37.98,0.1,25.51,25.51,26.24,26.21,25.64, 
6.265625,9222.762695,64.237923,64.237923,13.554791,9.00081,48.700809,18.664988,1.2,36.92,0.1,26.38,26.62,38.1,0.1,25.53,25.51,26.25,26.24,25.64, 
6.84375,9222.762695,64.237923,64.237923,13.554791,9.00081,48.700809,18.664988,1.2,36.92,0.1,26.43,26.67,38.1,0.1,25.51,25.51,26.28,26.24,25.68, 
7.421875,9223.044922,64.237923,64.237923,13.608367,9.00081,48.700809,18.664988,1.2,36.95,0.1,26.45,26.67,38.4,0.1,25.51,25.51,26.3,26.3,25.7, 
8,9223.044922,64.237923,64.237923,13.608367,9.00081,48.700809,18.664988,1.2,36.99,0.1,26.48,26.71,38.7,0.1,25.51,25.56,26.34,26.35,25.72, 
8.578125,9223.044922,64.237923,64.237923,13.608367,9.00081,48.700809,18.664988,1.2,36.99,0.1,26.49,26.76,38.1,0.1,25.52,25.56,26.36,26.37,25.77, 
9.15625,9223.044922,64.237923,64.237923,13.608367,9.00081,48.700809,18.664988,1.2,37.1,0.1,26.54,26.76,38.14,0.1,25.52,25.56,26.4,26.44,25.79, 
