=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2021.06.08 21:17:09 =~=~=~=~=~=~=~=~=~=~=~=,,,,,,,,,,,,,,,,,,,,
Time(s), VbatVal(mV), VbatHigh(mV), VbatLow(mV), VShunt(mV), VShuntGND(mV), VRef(mV), Gain, ShuntG,  Battery Temp 0, Battery Temp 1, Battery Temp 2, Battery Temp 3, Battery Temp 4, Battery Temp 5, Resistor Temp 0, Resistor Temp 1, Resistor Temp 2, Resistor Temp 3, Resistor Temp 4, 
0.539062,3591.469238,25.313557,11.586031,14.990457,10.213279,49.91328,18.211586,1.2,0,0,23.15,0,23.4,23.8,0,0,0,0,0, 
1.109375,3586.501709,25.348616,11.602077,14.956233,10.282411,49.98241,18.186398,1.2,20.68,22.57,23.11,23.54,23.37,23.8,20.5,20.95,22.51,22.41,20.53, 
1.679688,3573.784668,25.328711,11.618169,14.921914,10.351733,50.051735,18.161209,1.2,20.66,22.52,23.8,23.54,23.37,23.6,20.48,20.89,22.44,22.36,20.46, 
2.257812,3568.778809,25.363888,11.689445,14.887501,10.421249,50.12125,18.136021,1.2,20.66,22.48,23.3,23.49,23.35,23.2,20.46,20.84,22.42,22.32,20.42, 
2.828125,3561.032471,25.30875,11.634305,14.887501,10.421249,50.12125,18.136021,1.2,20.64,22.46,23.1,23.49,23.35,23.2,20.41,20.82,22.38,22.3,20.38, 
3.40625,3571.051514,25.238644,11.602077,14.956233,10.282411,49.98241,18.186398,1.2,20.64,22.41,23.1,23.49,23.35,23.2,20.41,20.78,22.38,22.27,20.31, 
3.976562,3554.730469,25.238644,11.602077,14.791274,10.392383,50.092384,18.186398,1.2,20.62,22.41,23.1,23.51,23.33,23,20.37,20.75,22.35,22.25,20.27, 
4.554688,3568.778809,25.363888,11.634305,14.887501,10.421249,50.12125,18.136021,1.2,20.62,22.41,23.3,23.51,23.35,23.2,20.35,20.74,22.33,22.23,20.22, 
5.125,3555.710449,25.343952,11.650487,14.797776,10.49096,50.190964,18.11083,1.2,20.6,22.41,23.3,23.56,23.38,23.2,20.33,20.67,22.3,22.21,20.16, 
5.703125,3560.741211,25.30875,11.634305,14.832361,10.421249,50.12125,18.136021,1.2,20.6,22.41,23.5,23.59,23.4,23.4,20.31,20.63,22.28,22.22,20.12, 
