Time,Battery V,Vbatthigh,Vbattlow,Shunt in,Shunt Gnd ,Cal In,Gain,Shunt G,Batt Temp 0,Batt Temp 1,Batt Temp 2,Batt Temp 3,Batt Temp 4,Batt Temp 5,R Temp 0,R Temp 1,R Temp 2,R Temp 3,R Temp 4,
0.429688,3744.920654,29.159163,8.822223,37.465801,12.545888,52.245888,17.455919,1.2,0,0,26.88,0,27.9,26.97,0,0,0,0,0, 
0.890625,3724.235596,29.2013,9.06445,37.347832,12.736127,52.436127,17.430731,1.2,25.9,26.75,26.88,27.1,27.9,26.99,25.47,25.49,25.8,25.93,25.43, 
1.359375,3724.23584,29.258671,8.83497,37.233093,12.793497,52.493496,17.430731,1.2,25.9,26.75,26.9,27.1,27.9,26.99,25.47,25.48,25.8,25.93,25.41, 
1.820312,3709.13916,28.908869,8.80329,36.917023,12.551787,52.251785,17.607054,1.2,25.87,26.75,26.9,27.1,27.13,26.99,25.47,25.49,25.8,25.95,25.43, 
2.289062,3656.80542,28.609026,8.929656,36.969913,12.626648,52.326649,17.581863,1.2,25.87,26.77,26.9,27.1,27.13,27.1,25.47,25.48,25.8,25.95,25.43, 
2.757812,3678.634033,28.622238,8.716006,36.550991,12.48357,52.183571,17.783375,1.2,25.87,26.77,26.9,27.1,27.13,27.1,25.49,25.48,25.82,25.95,25.43, 
3.21875,3618.911865,28.268652,8.784681,36.490211,12.557589,52.257587,17.758186,1.2,25.87,26.77,26.9,27.1,27.13,27.1,25.49,25.48,25.82,25.95,25.43, 
3.6875,3631.433105,28.486591,8.834807,36.698429,12.685878,52.385876,17.657431,1.2,25.87,26.77,26.9,27.1,27.13,27.1,25.49,25.49,25.82,25.95,25.43, 
4.148438,3607.703613,28.31669,8.778174,36.698429,12.685878,52.385876,17.657431,1.2,25.9,26.77,26.9,27.15,27.13,27.1,25.49,25.49,25.84,25.98,25.46, 
4.617188,3628.289307,28.446012,8.709117,36.646156,12.667807,52.367809,17.682619,1.2,25.9,26.77,26.9,27.15,27.13,27.1,25.49,25.49,25.85,26.1,25.46, 
5.085938,4028.106934,25.64378,7.758629,36.929058,7.002918,46.702915,19.848867,1.2,25.9,26.77,26.9,27.15,27.13,27.4,25.49,25.49,25.85,26.6,25.46, 
5.554688,3597.338623,28.046488,8.586798,36.187218,12.489887,52.189888,17.934509,1.2,25.9,26.77,26.92,27.15,27.13,27.6,25.49,25.49,25.87,26.9,25.46, 
6.015625,3645.657227,28.590767,8.740767,36.485653,12.68821,52.38821,17.732998,1.2,25.9,26.77,26.94,27.15,27.15,27.6,25.49,25.49,25.94,26.12,25.46, 
6.484375,3604.59375,28.276354,8.709117,36.646156,12.667807,52.367809,17.682619,1.2,25.92,26.78,26.94,27.15,27.15,27.6,25.49,25.54,25.96,26.14,25.48, 
6.953125,3623.657715,28.341078,8.716006,36.438526,12.596034,52.296036,17.783375,1.2,25.92,26.81,26.94,27.15,27.18,27.6,25.52,25.54,25.97,26.2,25.51, 
7.414062,3629.905029,28.421591,8.684375,36.485653,12.631818,52.331818,17.732998,1.2,25.92,26.81,26.94,27.15,27.18,27.6,25.52,25.54,26.1,26.23,25.51, 
7.882812,3592.242676,28.116148,8.659774,36.382294,12.596034,52.296036,17.783375,1.2,25.94,26.81,26.97,27.17,27.18,27.6,25.55,25.54,26.5,26.31,25.51, 
8.351562,3661.40918,28.70355,8.684375,36.485653,12.68821,52.38821,17.732998,1.2,25.94,26.81,26.97,27.2,27.18,27.6,25.55,25.54,26.8,26.37,25.51, 
8.820312,3626.776855,28.381277,8.615745,36.490211,12.613901,52.3139,17.758186,1.2,25.94,26.83,26.99,27.2,27.18,27.6,25.57,25.54,26.1,26.43,25.52, 
9.28125,3601.492432,28.179657,9.148506,36.594021,12.593314,52.293312,17.707809,1.2,25.94,26.83,26.99,27.2,27.18,27.6,25.57,25.56,26.18,26.49,25.52, 
9.75,3595.317139,28.156029,8.672057,36.433899,12.613901,52.3139,17.758186,1.2,25.94,26.83,27.2,27.23,27.18,27.9,25.57,25.56,26.2,26.55,25.55, 
10.21875,3574.772217,28.026846,8.57159,36.542046,12.631818,52.331818,17.732998,1.2,25.94,26.83,27.4,27.23,27.21,27.9,25.6,25.56,26.24,26.62,25.55, 
10.6875,3648.816406,28.574963,8.753201,36.594025,12.649786,52.349785,17.707809,1.2,25.94,26.88,27.4,27.23,27.21,27.9,25.6,25.59,26.27,26.68,25.55, 
11.148438,3629.905029,28.421591,8.57159,36.598438,12.631818,52.331818,17.732998,1.2,25.97,26.88,27.7,27.28,27.23,27.9,25.62,25.59,26.33,26.74,25.57, 
11.617188,3601.492432,28.349073,8.809672,36.481079,12.762731,52.46273,17.707809,1.2,25.99,26.88,27.7,27.28,27.23,27.7,25.62,25.59,26.37,26.81,25.6, 
12.085938,3600.096436,28.17238,8.491076,36.438526,12.596034,52.296036,17.783375,1.2,25.99,26.88,27.7,27.28,27.23,27.7,25.62,25.59,26.41,26.87,25.6, 
12.554688,3566.89624,28.026846,8.684375,36.485653,12.68821,52.38821,17.732998,1.2,25.97,26.9,27.7,27.28,27.23,27.7,25.65,25.63,26.46,26.93,25.6, 
